Startzeit: 09-11-2022 18:28:00
Endzeit: 09-11-2022 23:56:00
Daten Anzahl: 329
"Stromstärke (A) Max: 0,537 09-11-2022 18:57:00	 Min: 0 09-11-2022 18:28:00	 Avg: 0,11"
"Wirkleistung (W) Max: 61,047 09-11-2022 19:00:00	 Min: 0 09-11-2022 18:28:00	 Avg: 10,92"
"Scheinleistung (W) Max: 123,1878 09-11-2022 18:58:00	 Min: 0 09-11-2022 18:28:00	 Avg: 25,85"
""
Aufnahmezeit,Stromstärke (A),Wirkleistung (W),Scheinleistung (W)
"09-11-2022 18:28:00","0","0","0"
"09-11-2022 18:29:00","0","0","0"
"09-11-2022 18:30:00","0,199","10,034376","45,6108"
"09-11-2022 18:31:00","0,478","55,898754","109,6054"
"09-11-2022 18:32:00","0,488","57,043296","111,8496"
"09-11-2022 18:33:00","0,493","57,627756","112,9956"
"09-11-2022 18:34:00","0,499","58,303659","114,3209"
"09-11-2022 18:35:00","0,506","57,9623","115,9246"
"09-11-2022 18:36:00","0,51","58,4205","116,841"
"09-11-2022 18:37:00","0,513","58,81545","117,6309"
"09-11-2022 18:38:00","0,517","59,2482","118,4964"
"09-11-2022 18:39:00","0,52","59,592","119,184"
"09-11-2022 18:40:00","0,519","59,4774","118,9548"
"09-11-2022 18:41:00","0,522","59,769","119,538"
"09-11-2022 18:42:00","0,521","59,6545","119,309"
"09-11-2022 18:43:00","0,522","59,7951","119,5902"
"09-11-2022 18:44:00","0,522","59,7951","119,5902"
"09-11-2022 18:45:00","0,524","58,823716","120,0484"
"09-11-2022 18:46:00","0,52","59,566","119,132"
"09-11-2022 18:47:00","0,521","59,73265","119,4653"
"09-11-2022 18:48:00","0,522","59,8212","119,6424"
"09-11-2022 18:49:00","0,523","59,9358","119,8716"
"09-11-2022 18:50:00","0,525","60,19125","120,3825"
"09-11-2022 18:51:00","0,532","59,747856","121,9344"
"09-11-2022 18:52:00","0,531","59,609529","121,6521"
"09-11-2022 18:53:00","0,53","59,54921","121,529"
"09-11-2022 18:54:00","0,533","59,912398","122,2702"
"09-11-2022 18:55:00","0,532","59,669652","121,7748"
"09-11-2022 18:56:00","0,535","60,03235","122,515"
"09-11-2022 18:57:00","0,537","60,335709","123,1341"
"09-11-2022 18:58:00","0,537","60,362022","123,1878"
"09-11-2022 18:59:00","0,534","60,05097","122,553"
"09-11-2022 19:00:00","0,532","61,047","122,094"
"09-11-2022 19:01:00","0,516","59,1594","118,3188"
"09-11-2022 19:02:00","0,505","59,056215","115,7965"
"09-11-2022 19:03:00","0,494","57,769842","113,2742"
"09-11-2022 19:04:00","0,485","55,60525","111,2105"
"09-11-2022 19:05:00","0,472","54,0912","108,1824"
"09-11-2022 19:06:00","0,458","53,559894","105,0194"
"09-11-2022 19:07:00","0,444","51,990624","101,9424"
"09-11-2022 19:08:00","0,433","50,702568","99,4168"
"09-11-2022 19:09:00","0,422","48,4034","96,8068"
"09-11-2022 19:10:00","0,319","36,5893","73,1786"
"09-11-2022 19:11:00","0,319","37,337355","73,2105"
"09-11-2022 19:12:00","0,383","44,808702","87,8602"
"09-11-2022 19:13:00","0,368","43,053792","84,4192"
"09-11-2022 19:14:00","0,356","41,649864","81,6664"
"09-11-2022 19:15:00","0,342","40,02939","78,489"
"09-11-2022 19:16:00","0,329","38,474247","75,4397"
"09-11-2022 19:17:00","0,317","37,087098","72,7198"
"09-11-2022 19:18:00","0,305","35,667615","69,9365"
"09-11-2022 19:19:00","0,294","34,381242","67,4142"
"09-11-2022 19:20:00","0,284","32,5322","65,0644"
"09-11-2022 19:21:00","0,274","31,4004","62,8008"
"09-11-2022 19:22:00","0,266","30,4703","60,9406"
"09-11-2022 19:23:00","0,259","29,075081","59,3369"
"09-11-2022 19:24:00","0,252","27,711936","57,7332"
"09-11-2022 19:25:00","0,248","26,703896","56,8168"
"09-11-2022 19:26:00","0,242","25,503412","55,4422"
"09-11-2022 19:27:00","0,235","24,76571","53,8385"
"09-11-2022 19:28:00","0,23","23,73255","52,739"
"09-11-2022 19:29:00","0,224","22,609664","51,3856"
"09-11-2022 19:30:00","0,218","21,51333","50,031"
"09-11-2022 19:31:00","0,211","20,804389","48,3823"
"09-11-2022 19:32:00","0,204","19,654992","46,7976"
"09-11-2022 19:33:00","0,198","18,622692","45,4212"
"09-11-2022 19:34:00","0,193","18,144509","44,2549"
"09-11-2022 19:35:00","0,189","17,33508","43,3377"
"09-11-2022 19:36:00","0,185","16,55121","42,439"
"09-11-2022 19:37:00","0,182","15,851472","41,7144"
"09-11-2022 19:38:00","0,177","15,409266","40,5507"
"09-11-2022 19:39:00","0,171","14,886918","39,1761"
"09-11-2022 19:40:00","0,169","14,331876","38,7348"
"09-11-2022 19:41:00","0,164","13,89572","37,556"
"09-11-2022 19:42:00","0,16","13,18464","36,624"
"09-11-2022 19:43:00","0,063","5,200524","14,4459"
"09-11-2022 19:44:00","0,063","5,05386","14,4396"
"09-11-2022 19:45:00","0,063","5,051655","14,4333"
"09-11-2022 19:46:00","0,144","11,55672","33,0192"
"09-11-2022 19:47:00","0,141","11,32089","32,3454"
"09-11-2022 19:48:00","0,063","4,91589","14,4585"
"09-11-2022 19:49:00","0,063","4,913748","14,4522"
"09-11-2022 19:50:00","0,129","10,057098","29,5797"
"09-11-2022 19:51:00","0,125","9,458625","28,6625"
"09-11-2022 19:52:00","0,122","9,231618","27,9746"
"09-11-2022 19:53:00","0,118","8,932836","27,0692"
"09-11-2022 19:54:00","0,114","8,626266","26,1402"
"09-11-2022 19:55:00","0,111","8,406585","25,4745"
"09-11-2022 19:56:00","0,107","8,103645","24,5565"
"09-11-2022 19:57:00","0,105","7,71456","24,108"
"09-11-2022 19:58:00","0,102","7,497408","23,4294"
"09-11-2022 19:59:00","0,099","7,276896","22,7403"
"09-11-2022 20:00:00","0,096","7,053312","22,0416"
"09-11-2022 20:01:00","0,094","6,906368","21,5824"
"09-11-2022 20:02:00","0,091","6,691776","20,9118"
"09-11-2022 20:03:00","0,089","6,547552","20,4611"
"09-11-2022 20:04:00","0,086","6,129134","19,7714"
"09-11-2022 20:05:00","0,082","5,844058","18,8518"
"09-11-2022 20:06:00","0,079","5,635149","18,1779"
"09-11-2022 20:07:00","0,078","5,382","17,94"
"09-11-2022 20:08:00","0,075","5,17725","17,2575"
"09-11-2022 20:09:00","0,074","5,11044","17,0348"
"09-11-2022 20:10:00","0,072","4,97016","16,5672"
"09-11-2022 20:11:00","0,07","4,8342","16,114"
"09-11-2022 20:12:00","0,068","4,69812","15,6604"
"09-11-2022 20:13:00","0,066","4,55796","15,1932"
"09-11-2022 20:14:00","0,065","4,33927","14,963"
"09-11-2022 20:15:00","0,063","4,205754","14,5026"
"09-11-2022 20:16:00","0,062","4,142592","14,2848"
"09-11-2022 20:17:00","0,06","4,00896","13,824"
"09-11-2022 20:18:00","0,059","3,943855","13,5995"
"09-11-2022 20:19:00","0,038","1,75104","8,7552"
"09-11-2022 20:20:00","0,026","0,89895","5,993"
"09-11-2022 20:21:00","0,026","0,89895","5,993"
"09-11-2022 20:22:00","0,026","0,89934","5,9956"
"09-11-2022 20:23:00","0,026","0,89934","5,9956"
"09-11-2022 20:24:00","0,026","0,89973","5,9982"
"09-11-2022 20:25:00","0,026","0,89037","5,9358"
"09-11-2022 20:26:00","0,026","0,88764","5,9176"
"09-11-2022 20:27:00","0,026","0,88686","5,9124"
"09-11-2022 20:28:00","0,026","0,88725","5,915"
"09-11-2022 20:29:00","0,026","0,88725","5,915"
"09-11-2022 20:30:00","0,026","0,88686","5,9124"
"09-11-2022 20:31:00","0,026","0,88686","5,9124"
"09-11-2022 20:32:00","0,026","0,88647","5,9098"
"09-11-2022 20:33:00","0,026","0,88686","5,9124"
"09-11-2022 20:34:00","0,026","0,88686","5,9124"
"09-11-2022 20:35:00","0,026","0,88725","5,915"
"09-11-2022 20:36:00","0,026","0,88686","5,9124"
"09-11-2022 20:37:00","0,026","0,88725","5,915"
"09-11-2022 20:38:00","0,026","0,88647","5,9098"
"09-11-2022 20:39:00","0,026","0,88608","5,9072"
"09-11-2022 20:40:00","0,026","0,88569","5,9046"
"09-11-2022 20:41:00","0,026","0,88608","5,9072"
"09-11-2022 20:42:00","0,026","0,88647","5,9098"
"09-11-2022 20:43:00","0,026","0,88647","5,9098"
"09-11-2022 20:44:00","0,026","0,88647","5,9098"
"09-11-2022 20:45:00","0,026","0,88608","5,9072"
"09-11-2022 20:46:00","0,026","0,88686","5,9124"
"09-11-2022 20:47:00","0,026","0,88686","5,9124"
"09-11-2022 20:48:00","0,026","0,88686","5,9124"
"09-11-2022 20:49:00","0,026","0,88686","5,9124"
"09-11-2022 20:50:00","0,026","0,88686","5,9124"
"09-11-2022 20:51:00","0,026","0,88725","5,915"
"09-11-2022 20:52:00","0,026","0,88725","5,915"
"09-11-2022 20:53:00","0,026","0,88764","5,9176"
"09-11-2022 20:54:00","0,026","0,88725","5,915"
"09-11-2022 20:55:00","0,026","0,88725","5,915"
"09-11-2022 20:56:00","0,026","0,88764","5,9176"
"09-11-2022 20:57:00","0,026","0,88842","5,9228"
"09-11-2022 20:58:00","0,026","0,88764","5,9176"
"09-11-2022 20:59:00","0,026","0,88725","5,915"
"09-11-2022 21:00:00","0,026","0,88725","5,915"
"09-11-2022 21:01:00","0,027","0,859194","6,1371"
