Latitude (decimal degrees):	50.936
Longitude (decimal degrees):	6.985
Elevation (m):	47
Radiation database:	PVGIS-SARAH2


Slope: 40 deg. (optimum)
Azimuth: -4 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	10.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20180101:0010,0.0,0.0,0.0,8.71,6.48,0.0
20180101:0110,0.0,0.0,0.0,8.27,6.83,0.0
20180101:0210,0.0,0.0,0.0,7.67,7.52,0.0
20180101:0310,0.0,0.0,0.0,7.2,7.86,0.0
20180101:0410,0.0,0.0,0.0,6.91,7.79,0.0
20180101:0510,0.0,0.0,0.0,6.93,7.59,0.0
20180101:0610,0.0,0.0,0.0,6.63,7.03,0.0
20180101:0710,0.0,0.0,0.0,6.34,6.14,0.0
20180101:0810,0.0,4.52,3.47,6.03,5.72,0.0
20180101:0910,211.3,38.0,9.5,6.24,5.79,0.0
20180101:1010,6070.4,695.42,13.74,6.69,6.07,0.0
20180101:1110,5682.0,654.54,15.86,7.29,5.31,0.0
20180101:1210,2024.8,242.18,15.64,7.62,4.9,0.0
20180101:1310,1742.5,211.42,13.12,7.85,4.76,0.0
20180101:1410,395.7,60.87,8.52,7.58,4.76,0.0
20180101:1510,0.0,0.0,0.0,6.77,4.21,0.0
20180101:1610,0.0,0.0,0.0,5.81,4.83,0.0
20180101:1710,0.0,0.0,0.0,5.41,5.24,0.0
20180101:1810,0.0,0.0,0.0,5.21,4.28,0.0
20180101:1910,0.0,0.0,0.0,4.63,3.52,0.0
20180101:2010,0.0,0.0,0.0,5.07,2.83,0.0
20180101:2110,0.0,0.0,0.0,4.87,4.76,0.0
20180101:2210,0.0,0.0,0.0,4.33,4.69,0.0
20180101:2310,0.0,0.0,0.0,4.06,4.41,0.0
20180102:0010,0.0,0.0,0.0,4.24,6.0,0.0
20180102:0110,0.0,0.0,0.0,4.66,5.38,0.0
20180102:0210,0.0,0.0,0.0,4.98,5.1,0.0
20180102:0310,0.0,0.0,0.0,4.87,4.9,0.0
20180102:0410,0.0,0.0,0.0,4.7,4.97,0.0
20180102:0510,0.0,0.0,0.0,4.57,5.17,0.0
20180102:0610,0.0,0.0,0.0,4.56,5.66,0.0
20180102:0710,0.0,0.0,0.0,4.68,4.69,0.0
20180102:0810,39.9,13.57,3.49,4.75,5.03,0.0
20180102:0910,473.9,69.34,9.54,4.92,5.52,0.0
20180102:1010,718.2,97.47,13.8,5.17,5.31,0.0
20180102:1110,1208.4,151.84,15.94,5.61,4.9,0.0
20180102:1210,3202.4,369.45,15.74,5.95,4.62,0.0
20180102:1310,2512.7,294.08,13.23,6.15,4.28,0.0
20180102:1410,2162.1,257.02,8.64,6.18,3.52,0.0
20180102:1510,0.0,0.0,0.0,5.93,3.24,0.0
20180102:1610,0.0,0.0,0.0,5.58,3.31,0.0
20180102:1710,0.0,0.0,0.0,5.52,3.59,0.0
20180102:1810,0.0,0.0,0.0,5.53,4.0,0.0
20180102:1910,0.0,0.0,0.0,5.4,4.83,0.0
20180102:2010,0.0,0.0,0.0,5.24,5.52,0.0
20180102:2110,0.0,0.0,0.0,5.73,5.93,0.0
20180102:2210,0.0,0.0,0.0,6.44,6.0,0.0
20180102:2310,0.0,0.0,0.0,7.05,5.66,0.0
20180103:0010,0.0,0.0,0.0,7.57,5.52,0.0
20180103:0110,0.0,0.0,0.0,8.32,5.59,0.0
20180103:0210,0.0,0.0,0.0,9.22,6.69,0.0
20180103:0310,0.0,0.0,0.0,9.98,8.41,0.0
20180103:0410,0.0,0.0,0.0,10.41,9.38,0.0
20180103:0510,0.0,0.0,0.0,10.71,9.66,0.0
20180103:0610,0.0,0.0,0.0,8.84,7.93,0.0
20180103:0710,0.0,0.0,0.0,7.69,7.03,0.0
20180103:0810,198.3,36.2,3.53,6.69,9.66,0.0
20180103:0910,204.8,37.09,9.59,5.92,9.59,0.0
20180103:1010,1332.9,164.77,13.87,6.08,8.55,0.0
20180103:1110,1195.1,150.61,16.02,6.81,8.83,0.0
20180103:1210,809.5,108.59,15.84,7.45,9.72,0.0
20180103:1310,786.6,105.84,13.34,7.52,9.03,0.0
20180103:1410,920.3,120.36,8.76,7.37,9.45,0.0
20180103:1510,0.0,1.81,2.47,7.1,8.83,0.0
20180103:1610,0.0,0.0,0.0,6.88,8.21,0.0
20180103:1710,0.0,0.0,0.0,6.78,8.07,0.0
20180103:1810,0.0,0.0,0.0,6.62,8.0,0.0
20180103:1910,0.0,0.0,0.0,6.37,7.93,0.0
20180103:2010,0.0,0.0,0.0,6.1,7.66,0.0
20180103:2110,0.0,0.0,0.0,6.18,7.38,0.0
20180103:2210,0.0,0.0,0.0,6.02,6.76,0.0
20180103:2310,0.0,0.0,0.0,5.92,6.21,0.0
20180104:0010,0.0,0.0,0.0,6.03,6.14,0.0
20180104:0110,0.0,0.0,0.0,5.95,6.0,0.0
20180104:0210,0.0,0.0,0.0,6.01,5.79,0.0
20180104:0310,0.0,0.0,0.0,5.8,5.45,0.0
20180104:0410,0.0,0.0,0.0,6.06,5.31,0.0
20180104:0510,0.0,0.0,0.0,5.95,4.97,0.0
20180104:0610,0.0,0.0,0.0,5.95,4.28,0.0
20180104:0710,0.0,0.0,0.0,6.31,3.93,0.0
20180104:0810,0.0,5.43,3.56,6.52,3.72,0.0
20180104:0910,135.7,28.04,9.64,6.97,3.24,0.0
20180104:1010,231.0,40.71,13.94,7.27,2.83,0.0
20180104:1110,1086.5,140.04,16.11,7.45,2.34,0.0
20180104:1210,975.8,127.66,15.95,7.5,2.76,0.0
20180104:1310,135.1,28.04,13.47,7.75,3.52,0.0
20180104:1410,167.1,32.57,8.9,9.14,3.93,0.0
20180104:1510,311.6,52.32,2.6,10.92,6.76,0.0
20180104:1610,0.0,0.0,0.0,11.02,7.45,0.0
20180104:1710,0.0,0.0,0.0,10.56,7.45,0.0
20180104:1810,0.0,0.0,0.0,10.33,7.79,0.0
20180104:1910,0.0,0.0,0.0,9.67,7.79,0.0
20180104:2010,0.0,0.0,0.0,9.0,8.07,0.0
20180104:2110,0.0,0.0,0.0,8.5,7.86,0.0
20180104:2210,0.0,0.0,0.0,7.83,7.31,0.0
20180104:2310,0.0,0.0,0.0,7.23,6.83,0.0
20180105:0010,0.0,0.0,0.0,6.87,6.62,0.0
20180105:0110,0.0,0.0,0.0,6.63,6.0,0.0
20180105:0210,0.0,0.0,0.0,6.57,5.52,0.0
20180105:0310,0.0,0.0,0.0,6.6,4.83,0.0
20180105:0410,0.0,0.0,0.0,7.69,6.41,0.0
20180105:0510,0.0,0.0,0.0,8.06,7.03,0.0
20180105:0610,0.0,0.0,0.0,7.94,6.34,0.0
20180105:0710,0.0,0.0,0.0,8.56,5.79,0.0
20180105:0810,124.0,26.46,3.61,8.14,4.76,0.0
20180105:0910,573.0,81.79,9.7,8.31,4.07,0.0
20180105:1010,433.7,66.04,14.02,8.8,3.79,0.0
20180105:1110,1010.8,132.48,16.22,9.16,3.03,0.0
20180105:1210,477.2,71.47,16.07,9.41,2.9,0.0
20180105:1310,1408.3,176.95,13.6,9.45,2.07,0.0
20180105:1410,3080.2,366.7,9.04,9.24,2.0,0.0
20180105:1510,233.0,41.78,2.75,8.79,2.34,0.0
20180105:1610,0.0,0.0,0.0,7.85,2.9,0.0
20180105:1710,0.0,0.0,0.0,7.55,3.38,0.0
20180105:1810,0.0,0.0,0.0,7.9,4.07,0.0
20180105:1910,0.0,0.0,0.0,7.56,4.07,0.0
20180105:2010,0.0,0.0,0.0,7.29,3.66,0.0
20180105:2110,0.0,0.0,0.0,6.87,3.31,0.0
20180105:2210,0.0,0.0,0.0,6.17,3.03,0.0
20180105:2310,0.0,0.0,0.0,5.79,2.76,0.0
20180106:0010,0.0,0.0,0.0,5.26,2.48,0.0
20180106:0110,0.0,0.0,0.0,4.71,2.34,0.0
20180106:0210,0.0,0.0,0.0,4.39,2.34,0.0
20180106:0310,0.0,0.0,0.0,4.02,2.34,0.0
20180106:0410,0.0,0.0,0.0,3.71,2.28,0.0
20180106:0510,0.0,0.0,0.0,3.32,2.28,0.0
20180106:0610,0.0,0.0,0.0,3.11,2.0,0.0
20180106:0710,0.0,0.0,0.0,3.79,2.0,0.0
