Latitude (decimal degrees):	50.937
Longitude (decimal degrees):	6.984
Elevation (m):	49
Radiation database:	PVGIS-SARAH2


Slope: 0 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	10.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20180101:0010,0.0,0.0,0.0,8.71,6.48,0.0
20180101:0110,0.0,0.0,0.0,8.27,6.83,0.0
20180101:0210,0.0,0.0,0.0,7.67,7.52,0.0
20180101:0310,0.0,0.0,0.0,7.2,7.86,0.0
20180101:0410,0.0,0.0,0.0,6.91,7.79,0.0
20180101:0510,0.0,0.0,0.0,6.93,7.59,0.0
20180101:0610,0.0,0.0,0.0,6.63,7.03,0.0
20180101:0710,0.0,0.0,0.0,6.34,6.14,0.0
20180101:0810,0.0,5.0,3.47,6.03,5.72,0.0
20180101:0910,241.9,42.0,9.5,6.24,5.79,0.0
20180101:1010,1549.6,224.01,13.74,6.69,6.07,0.0
20180101:1110,1820.0,245.01,15.86,7.29,5.31,0.0
20180101:1210,1203.5,159.0,15.64,7.62,4.9,0.0
20180101:1310,954.5,132.0,13.12,7.85,4.76,0.0
20180101:1410,327.3,54.0,8.52,7.58,4.76,0.0
20180101:1510,0.0,0.0,0.0,6.77,4.21,0.0
20180101:1610,0.0,0.0,0.0,5.81,4.83,0.0
20180101:1710,0.0,0.0,0.0,5.41,5.24,0.0
20180101:1810,0.0,0.0,0.0,5.21,4.28,0.0
20180101:1910,0.0,0.0,0.0,4.63,3.52,0.0
20180101:2010,0.0,0.0,0.0,5.07,2.83,0.0
20180101:2110,0.0,0.0,0.0,4.87,4.76,0.0
20180101:2210,0.0,0.0,0.0,4.33,4.69,0.0
20180101:2310,0.0,0.0,0.0,4.06,4.41,0.0
20180102:0010,0.0,0.0,0.0,4.24,6.0,0.0
20180102:0110,0.0,0.0,0.0,4.66,5.38,0.0
20180102:0210,0.0,0.0,0.0,4.98,5.1,0.0
20180102:0310,0.0,0.0,0.0,4.87,4.9,0.0
20180102:0410,0.0,0.0,0.0,4.7,4.97,0.0
20180102:0510,0.0,0.0,0.0,4.57,5.17,0.0
20180102:0610,0.0,0.0,0.0,4.56,5.66,0.0
20180102:0710,0.0,0.0,0.0,4.68,4.69,0.0
20180102:0810,48.3,15.0,3.49,4.75,5.03,0.0
20180102:0910,407.7,63.0,9.54,4.92,5.52,0.0
20180102:1010,675.3,94.0,13.8,5.17,5.31,0.0
20180102:1110,983.6,130.0,15.93,5.61,4.9,0.0
20180102:1210,1457.2,191.01,15.74,5.95,4.62,0.0
20180102:1310,1104.2,152.0,13.23,6.15,4.28,0.0
20180102:1410,604.6,100.0,8.64,6.18,3.52,0.0
20180102:1510,0.0,0.0,0.0,5.93,3.24,0.0
20180102:1610,0.0,0.0,0.0,5.58,3.31,0.0
20180102:1710,0.0,0.0,0.0,5.52,3.59,0.0
20180102:1810,0.0,0.0,0.0,5.53,4.0,0.0
20180102:1910,0.0,0.0,0.0,5.4,4.83,0.0
20180102:2010,0.0,0.0,0.0,5.24,5.52,0.0
20180102:2110,0.0,0.0,0.0,5.73,5.93,0.0
20180102:2210,0.0,0.0,0.0,6.44,6.0,0.0
20180102:2310,0.0,0.0,0.0,7.05,5.66,0.0
20180103:0010,0.0,0.0,0.0,7.57,5.52,0.0
20180103:0110,0.0,0.0,0.0,8.32,5.59,0.0
20180103:0210,0.0,0.0,0.0,9.22,6.69,0.0
20180103:0310,0.0,0.0,0.0,9.98,8.41,0.0
20180103:0410,0.0,0.0,0.0,10.41,9.38,0.0
20180103:0510,0.0,0.0,0.0,10.71,9.66,0.0
20180103:0610,0.0,0.0,0.0,8.84,7.93,0.0
20180103:0710,0.0,0.0,0.0,7.69,7.03,0.0
20180103:0810,74.6,20.56,3.52,6.69,9.66,0.0
20180103:0910,234.6,41.0,9.59,5.92,9.59,0.0
20180103:1010,900.4,122.0,13.87,6.08,8.55,0.0
20180103:1110,972.3,129.0,16.02,6.81,8.83,0.0
20180103:1210,793.4,108.0,15.84,7.45,9.72,0.0
20180103:1310,691.4,97.0,13.34,7.52,9.03,0.0
20180103:1410,474.2,75.0,8.76,7.37,9.45,0.0
20180103:1510,0.0,2.0,2.47,7.1,8.83,0.0
20180103:1610,0.0,0.0,0.0,6.88,8.21,0.0
20180103:1710,0.0,0.0,0.0,6.78,8.07,0.0
20180103:1810,0.0,0.0,0.0,6.62,8.0,0.0
20180103:1910,0.0,0.0,0.0,6.37,7.93,0.0
20180103:2010,0.0,0.0,0.0,6.1,7.66,0.0
20180103:2110,0.0,0.0,0.0,6.18,7.38,0.0
20180103:2210,0.0,0.0,0.0,6.02,6.76,0.0
20180103:2310,0.0,0.0,0.0,5.92,6.21,0.0
20180104:0010,0.0,0.0,0.0,6.03,6.14,0.0
20180104:0110,0.0,0.0,0.0,5.95,6.0,0.0
20180104:0210,0.0,0.0,0.0,6.01,5.79,0.0
20180104:0310,0.0,0.0,0.0,5.8,5.45,0.0
20180104:0410,0.0,0.0,0.0,6.06,5.31,0.0
20180104:0510,0.0,0.0,0.0,5.95,4.97,0.0
20180104:0610,0.0,0.0,0.0,5.95,4.28,0.0
20180104:0710,0.0,0.0,0.0,6.31,3.93,0.0
20180104:0810,1.5,6.0,3.56,6.52,3.72,0.0
20180104:0910,156.8,31.0,9.64,6.97,3.24,0.0
20180104:1010,263.9,45.0,13.94,7.27,2.83,0.0
20180104:1110,921.5,124.0,16.11,7.45,2.34,0.0
20180104:1210,862.7,117.0,15.95,7.5,2.76,0.0
20180104:1310,156.2,31.0,13.47,7.75,3.52,0.0
20180104:1410,192.2,36.0,8.9,9.14,3.93,0.0
20180104:1510,36.3,16.19,2.6,10.92,6.76,0.0
20180104:1610,0.0,0.0,0.0,11.02,7.45,0.0
20180104:1710,0.0,0.0,0.0,10.56,7.45,0.0
20180104:1810,0.0,0.0,0.0,10.33,7.79,0.0
20180104:1910,0.0,0.0,0.0,9.67,7.79,0.0
20180104:2010,0.0,0.0,0.0,9.0,8.07,0.0
20180104:2110,0.0,0.0,0.0,8.5,7.86,0.0
20180104:2210,0.0,0.0,0.0,7.83,7.31,0.0
20180104:2310,0.0,0.0,0.0,7.23,6.83,0.0
20180105:0010,0.0,0.0,0.0,6.87,6.62,0.0
20180105:0110,0.0,0.0,0.0,6.63,6.0,0.0
20180105:0210,0.0,0.0,0.0,6.57,5.52,0.0
20180105:0310,0.0,0.0,0.0,6.6,4.83,0.0
20180105:0410,0.0,0.0,0.0,7.69,6.41,0.0
20180105:0510,0.0,0.0,0.0,8.06,7.03,0.0
20180105:0610,0.0,0.0,0.0,7.94,6.34,0.0
20180105:0710,0.0,0.0,0.0,8.56,5.79,0.0
20180105:0810,73.2,19.79,3.61,8.14,4.76,0.0
20180105:0910,437.1,68.0,9.7,8.31,4.07,0.0
20180105:1010,490.4,73.0,14.02,8.8,3.79,0.0
20180105:1110,899.9,122.0,16.21,9.16,3.03,0.0
20180105:1210,538.8,79.0,16.07,9.41,2.9,0.0
20180105:1310,898.6,125.0,13.6,9.45,2.07,0.0
20180105:1410,679.9,119.01,9.04,9.24,2.0,0.0
20180105:1510,42.4,16.38,2.75,8.79,2.34,0.0
20180105:1610,0.0,0.0,0.0,7.85,2.9,0.0
20180105:1710,0.0,0.0,0.0,7.55,3.38,0.0
20180105:1810,0.0,0.0,0.0,7.9,4.07,0.0
20180105:1910,0.0,0.0,0.0,7.56,4.07,0.0
20180105:2010,0.0,0.0,0.0,7.29,3.66,0.0
20180105:2110,0.0,0.0,0.0,6.87,3.31,0.0
20180105:2210,0.0,0.0,0.0,6.17,3.03,0.0
20180105:2310,0.0,0.0,0.0,5.79,2.76,0.0
20180106:0010,0.0,0.0,0.0,5.26,2.48,0.0
20180106:0110,0.0,0.0,0.0,4.71,2.34,0.0
20180106:0210,0.0,0.0,0.0,4.39,2.34,0.0
20180106:0310,0.0,0.0,0.0,4.02,2.34,0.0
20180106:0410,0.0,0.0,0.0,3.71,2.28,0.0
20180106:0510,0.0,0.0,0.0,3.32,2.28,0.0
20180106:0610,0.0,0.0,0.0,3.11,2.0,0.0
20180106:0710,0.0,0.0,0.0,3.79,2.0,0.0
