"Latitude (decimal degrees):	50.936"
"Longitude (decimal degrees):	6.985"
"Elevation (m):	47"
"Radiation database:	PVGIS-SARAH2"


Slope: 30 deg. 
Azimuth: 90 deg. 
"Nominal power of the PV system (c-Si) (kWp):	10.0"
"System losses (%):	14.0"
time,P_pv,G(i),H_sun,T2m,WS10m,Int
20190101:0010,0.0,0.0,0.0,6.64,2.69,0.0
20190101:0110,0.0,0.0,0.0,6.46,2.97,0.0
20190101:0210,0.0,0.0,0.0,6.27,3.31,0.0
20190101:0310,0.0,0.0,0.0,6.13,3.66,0.0
20190101:0410,0.0,0.0,0.0,6.05,4.0,0.0
20190101:0510,0.0,0.0,0.0,6.05,4.21,0.0
20190101:0610,0.0,0.0,0.0,5.98,4.28,0.0
20190101:0710,0.0,0.0,0.0,5.97,4.48,0.0
20190101:0810,2.9,6.34,3.47,5.86,4.62,0.0
20190101:0910,217.9,38.92,9.5,5.9,4.9,0.0
20190101:1010,239.0,41.62,13.74,6.02,5.17,0.0
20190101:1110,276.2,46.35,15.86,6.17,5.45,0.0
20190101:1210,478.5,70.95,15.64,6.32,5.45,0.0
20190101:1310,399.0,61.49,13.12,6.46,5.24,0.0
20190101:1410,42.9,14.19,8.52,6.78,5.1,0.0
20190101:1510,0.0,0.0,0.0,7.02,5.52,0.0
20190101:1610,0.0,0.0,0.0,6.62,5.59,0.0
20190101:1710,0.0,0.0,0.0,5.88,5.52,0.0
20190101:1810,0.0,0.0,0.0,5.5,5.66,0.0
20190101:1910,0.0,0.0,0.0,4.98,6.0,0.0
20190101:2010,0.0,0.0,0.0,4.39,6.0,0.0
20190101:2110,0.0,0.0,0.0,4.04,5.79,0.0
20190101:2210,0.0,0.0,0.0,3.93,5.66,0.0
20190101:2310,0.0,0.0,0.0,3.77,5.52,0.0
20190102:0010,0.0,0.0,0.0,3.46,5.31,0.0
20190102:0110,0.0,0.0,0.0,3.36,5.31,0.0
20190102:0210,0.0,0.0,0.0,3.1,5.24,0.0
20190102:0310,0.0,0.0,0.0,2.82,5.1,0.0
20190102:0410,0.0,0.0,0.0,2.75,5.1,0.0
20190102:0510,0.0,0.0,0.0,2.89,5.1,0.0
20190102:0610,0.0,0.0,0.0,3.11,5.03,0.0
20190102:0710,0.0,0.0,0.0,3.18,5.1,0.0
20190102:0810,34.9,12.67,3.49,3.01,4.97,0.0
20190102:0910,436.2,65.16,9.54,3.32,5.03,0.0
20190102:1010,452.1,81.85,13.8,3.86,4.69,0.0
20190102:1110,609.2,85.8,15.94,4.36,5.59,0.0
20190102:1210,1980.0,256.92,15.74,4.94,5.52,0.0
20190102:1310,1995.1,249.39,13.23,5.04,4.76,0.0
20190102:1410,475.0,70.56,8.64,4.94,4.34,0.0
20190102:1510,0.0,0.0,0.0,4.28,3.72,0.0
20190102:1610,0.0,0.0,0.0,3.39,3.24,0.0
20190102:1710,0.0,0.0,0.0,2.7,2.9,0.0
20190102:1810,0.0,0.0,0.0,2.08,2.69,0.0
20190102:1910,0.0,0.0,0.0,0.96,2.55,0.0
20190102:2010,0.0,0.0,0.0,0.39,2.41,0.0
20190102:2110,0.0,0.0,0.0,-0.1,2.21,0.0
20190102:2210,0.0,0.0,0.0,-0.6,2.07,0.0
20190102:2310,0.0,0.0,0.0,-0.7,1.93,0.0
20190103:0010,0.0,0.0,0.0,-0.55,1.86,0.0
20190103:0110,0.0,0.0,0.0,-0.1,2.07,0.0
20190103:0210,0.0,0.0,0.0,0.07,2.14,0.0
20190103:0310,0.0,0.0,0.0,0.23,2.21,0.0
20190103:0410,0.0,0.0,0.0,0.39,2.21,0.0
20190103:0510,0.0,0.0,0.0,0.47,2.28,0.0
20190103:0610,0.0,0.0,0.0,0.11,2.21,0.0
20190103:0710,0.0,0.0,0.0,0.45,2.34,0.0
20190103:0810,20.3,9.96,3.53,0.58,2.41,0.0
20190103:0910,363.4,56.11,9.59,1.17,2.34,0.0
20190103:1010,707.2,98.1,13.87,2.18,2.97,0.0
20190103:1110,1227.5,176.12,16.02,3.1,3.38,0.0
20190103:1210,928.3,123.2,15.84,3.6,3.45,0.0
20190103:1310,570.9,81.36,13.34,4.0,3.45,0.0
20190103:1410,182.4,34.06,8.76,4.0,3.45,0.0
20190103:1510,0.0,1.89,2.47,3.6,3.24,0.0
20190103:1610,0.0,0.0,0.0,2.98,2.97,0.0
20190103:1710,0.0,0.0,0.0,2.89,2.83,0.0
20190103:1810,0.0,0.0,0.0,2.72,2.69,0.0
20190103:1910,0.0,0.0,0.0,2.72,2.97,0.0
20190103:2010,0.0,0.0,0.0,2.31,2.62,0.0
20190103:2110,0.0,0.0,0.0,2.15,2.41,0.0
20190103:2210,0.0,0.0,0.0,1.47,2.28,0.0
20190103:2310,0.0,0.0,0.0,0.94,1.93,0.0
20190104:0010,0.0,0.0,0.0,0.76,1.59,0.0
20190104:0110,0.0,0.0,0.0,0.28,1.72,0.0
20190104:0210,0.0,0.0,0.0,-0.04,1.66,0.0
20190104:0310,0.0,0.0,0.0,-0.05,1.59,0.0
20190104:0410,0.0,0.0,0.0,-0.19,1.66,0.0
20190104:0510,0.0,0.0,0.0,0.05,1.72,0.0
20190104:0610,0.0,0.0,0.0,0.13,1.86,0.0
20190104:0710,0.0,0.0,0.0,1.21,1.93,0.0
20190104:0810,75.2,19.01,3.56,1.48,2.21,0.0
20190104:0910,75.1,19.01,9.64,1.86,2.76,0.0
20190104:1010,134.1,27.43,13.94,2.37,3.59,0.0
20190104:1110,169.1,32.16,16.11,2.81,3.72,0.0
20190104:1210,787.8,106.33,15.95,3.13,3.72,0.0
20190104:1310,381.1,58.65,13.47,3.45,4.55,0.0
20190104:1410,968.6,127.58,8.9,3.43,4.41,0.0
20190104:1510,0.0,4.73,2.6,3.29,4.21,0.0
20190104:1610,0.0,0.0,0.0,3.01,4.41,0.0
20190104:1710,0.0,0.0,0.0,2.91,4.48,0.0
20190104:1810,0.0,0.0,0.0,2.94,4.48,0.0
20190104:1910,0.0,0.0,0.0,2.21,4.28,0.0
20190104:2010,0.0,0.0,0.0,2.35,4.0,0.0
20190104:2110,0.0,0.0,0.0,2.52,4.14,0.0
20190104:2210,0.0,0.0,0.0,2.76,4.14,0.0
